Year,Team,MeasureName,MeasureType,MeasureValue
2014,Kings Xi Punjab,WicketsPerMatch,Bowling,6.117647059
2019,Kings Xi Punjab,Innings,Batting,8.090909091
2018,Kings Xi Punjab,Innings,Batting,8.5
2017,Kings Xi Punjab,Innings,Batting,7.076923077
2016,Kings Xi Punjab,Innings,Batting,7
2015,Kings Xi Punjab,Innings,Batting,8.066666667
2014,Kings Xi Punjab,Innings,Batting,9.916666667
2019,Kings Xi Punjab,NotOuts,Batting,1.909090909
2018,Kings Xi Punjab,NotOuts,Batting,1.333333333
2017,Kings Xi Punjab,NotOuts,Batting,1.230769231
2016,Kings Xi Punjab,NotOuts,Batting,1.266666667
2015,Kings Xi Punjab,NotOuts,Batting,1.266666667
2014,Kings Xi Punjab,NotOuts,Batting,2.25
2019,Kings Xi Punjab,HighScore ,Batting,210.3636364
2018,Kings Xi Punjab,HighScore ,Batting,173.4166667
2017,Kings Xi Punjab,HighScore ,Batting,158.9230769
2016,Kings Xi Punjab,HighScore ,Batting,134.1333333
2015,Kings Xi Punjab,HighScore ,Batting,124.8
2014,Kings Xi Punjab,HighScore ,Batting,234.5833333
2019,Kings Xi Punjab,RunsScored,Batting,165.2857143
2018,Kings Xi Punjab,RunsScored,Batting,148.6428571
2017,Kings Xi Punjab,RunsScored,Batting,147.5714286
2016,Kings Xi Punjab,RunsScored,Batting,143.7142857
2015,Kings Xi Punjab,RunsScored,Batting,133.7142857
2014,Kings Xi Punjab,RunsScored,Batting,165.5882353
2019,Kings Xi Punjab,BallsFaced,Batting,116.9285714
2018,Kings Xi Punjab,BallsFaced,Batting,108.4285714
2017,Kings Xi Punjab,BallsFaced,Batting,106.8571429
2016,Kings Xi Punjab,BallsFaced,Batting,112.5
2015,Kings Xi Punjab,BallsFaced,Batting,111.4285714
2014,Kings Xi Punjab,BallsFaced,Batting,115.7058824
2019,Kings Xi Punjab,StrikeRate,Batting,142.2354545
2018,Kings Xi Punjab,StrikeRate,Batting,123.985
2017,Kings Xi Punjab,StrikeRate,Batting,130.2684615
